"ANID","Alternate ID","Chem Group","Sample Type","Investigator Name","Institution","Site Name","Site State","Site Country","Site Latitude","Site Longitude","Source Name","Source State","Source Country","Source/Excavator/Museum","Period","Artifact Date","Comments","Analytical History","Long RDF","Long Date","Short RDF","Short Date","Spare_ID","Ba","La","Lu","Nd","Sm","U","Yb","Ce","Co","Cs","Eu","Fe","Hf","Rb","Sb","Sc","Sr","Ta","Tb","Th","Zn","Zr","Br","Al","Cl","Dy","K","Mn","Na","NKT_edits"
"AAA001","Haber-1","ARCH-ARG","source","Haber, Alejandro","Universidad Nacional de Catamarca","Archibarca point A","Salta","Argentina",-25.2000,-67.8800,"Archibarca","Salta","Argentina","Haber, Alejandro",,,,"MURR (SRM-278: short and long)","WGD2",7-Sep-03,"WSG2-S",14-Aug-03,"AAA001",852.40,55.6675,0.2540,35.0567,5.1435,2.9282,1.6002,99.7842,0.7402,2.7642,1.0491,8725.1,4.0751,112.72,0.0833,2.4564,364.29,1.2775,0.4963,14.9146,51.90,151.60,0.000,74180.8,323.5,3.0102,35087.0,560.67,28553.4,
"AAA002","Haber-2","ARCH-ARG","source","Haber, Alejandro","Universidad Nacional de Catamarca","Archibarca point A","Salta","Argentina",-25.2000,-67.8800,"Archibarca","Salta","Argentina","Haber, Alejandro",,,,"MURR (SRM-278: short and long)","WGD2",7-Sep-03,"WSG2-S",14-Aug-03,"AAA002",836.60,55.6601,0.2379,37.0838,5.0983,3.7759,1.4583,98.3963,0.7481,2.7280,1.0393,8662.6,3.9947,112.35,0.0618,2.4300,376.75,1.2727,0.5112,14.7077,51.44,148.14,0.000,70831.6,379.8,2.4475,31605.1,536.39,28224.1,
"AAA003","Haber-3","ARCH-ARG","source","Haber, Alejandro","Universidad Nacional de Catamarca","Archibarca point A","Salta","Argentina",-25.2000,-67.8800,"Archibarca","Salta","Argentina","Haber, Alejandro",,,,"MURR (SRM-278: short and long)","WGD2",7-Sep-03,"WSG2-S",14-Aug-03,"AAA003",863.80,55.6185,0.2301,32.0890,5.1097,2.6320,1.4653,98.8425,0.8878,2.7137,1.0375,8695.6,4.0427,111.03,0.0888,2.4395,364.64,1.2953,0.5175,14.8722,47.46,172.65,0.000,72021.7,226.4,1.8642,32587.9,545.20,28440.2,
"AAA004","Haber-4","ARCH-ARG","source","Haber, Alejandro","Universidad Nacional de Catamarca","Archibarca point A","Salta","Argentina",-25.2000,-67.8800,"Archibarca","Salta","Argentina","Haber, Alejandro",,,,"MURR (SRM-278: short and long)","WGD2",7-Sep-03,"WSG2-S",14-Aug-03,"AAA004",864.50,55.5804,0.2515,34.7378,5.0763,3.4344,1.5313,98.9032,0.7391,2.7197,1.0496,8626.5,3.9883,112.78,0.0857,2.4450,417.16,1.2712,0.5316,14.8342,51.42,133.47,0.000,67507.4,364.4,2.9187,29074.6,532.67,27835.1,
"AAA005","Haber-5","ARCH-ARG","source","Haber, Alejandro","Universidad Nacional de Catamarca","Archibarca point A","Salta","Argentina",-25.2000,-67.8800,"Archibarca","Salta","Argentina","Haber, Alejandro",,,,"MURR (SRM-278: short and long)","WGD2",7-Sep-03,"WSG2-S",14-Aug-03,"AAA005",838.70,55.0136,0.2669,34.8227,5.0568,3.1398,1.4886,97.6569,0.7170,2.7686,1.0268,8669.9,3.9517,112.00,0.0900,2.4391,370.73,1.2792,0.5349,14.7251,49.92,138.77,0.000,75677.9,350.6,2.8843,35763.7,556.41,29102.1,
"AAB001","Haber-6","ARCH-ARG","source","Haber, Alejandro","Universidad Nacional de Catamarca","Archibarca point B","Salta","Argentina",-25.2000,-67.8800,"Archibarca","Salta","Argentina","Haber, Alejandro",,,,"MURR (SRM-278: short and long)","WGD2",7-Sep-03,"WSG2-S",14-Aug-03,"AAB001",829.20,55.1313,0.2836,31.5112,5.1068,2.8041,1.4405,97.5887,0.7282,2.7128,1.0082,8618.0,3.9986,114.66,0.0716,2.4209,409.46,1.2844,0.5357,14.6305,53.09,140.86,0.000,75393.1,572.1,2.3093,32791.3,555.77,29044.3,
"AAB002","Haber-7","ARCH-ARG","source","Haber, Alejandro","Universidad Nacional de Catamarca","Archibarca point B","Salta","Argentina",-25.2000,-67.8800,"Archibarca","Salta","Argentina","Haber, Alejandro",,,,"MURR (SRM-278: short and long)","WGD2",7-Sep-03,"WSG2-S",14-Aug-03,"AAB002",841.50,55.3353,0.2322,34.2434,5.0592,2.6042,1.5177,97.6513,0.9482,2.7276,1.0292,8620.9,3.9832,109.97,0.0887,2.4147,352.41,1.2593,0.5414,14.6882,51.94,141.46,0.000,70286.1,327.3,2.7917,34494.9,549.90,28925.8,
"AAB003","Haber-8","ARCH-ARG","source","Haber, Alejandro","Universidad Nacional de Catamarca","Archibarca point B","Salta","Argentina",-25.2000,-67.8800,"Archibarca","Salta","Argentina","Haber, Alejandro",,,,"MURR (SRM-278: short and long)","WGD2",7-Sep-03,"WSG2-S",14-Aug-03,"AAB003",836.00,54.6963,0.2493,33.9817,5.0722,3.1772,1.3883,97.7181,0.7696,2.7003,1.0082,8621.8,3.9520,113.23,0.0749,2.4060,384.87,1.2551,0.5126,14.7620,49.26,128.42,0.000,78370.5,417.5,2.6095,32877.5,552.65,29049.2,
"BAT201","BAT201","LM2-CHL","source","Giesso, Martin","Northeastern Illinois University","El Batro","Mendoza","Argentina",,,"El Batro","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"BAT201",678.29,31.1830,0.3180,19.3459,4.0192,6.1486,2.1620,55.4579,0.2684,5.5381,0.5558,6511.6,4.3312,171.58,0.3369,2.2161,76.45,1.0131,0.4324,22.2788,26.25,180.78,4.839,73179.2,776.8,2.5726,33333.1,502.81,32227.6,
"BAT202","BAT202","LM2-CHL","source","Giesso, Martin","Northeastern Illinois University","El Batro","Mendoza","Argentina",,,"El Batro","Mendoza","Argentina",,,,,,"FMA2",2-Feb-14,"DUF2-S",6-Dec-13,"BAT202",645.29,31.1679,0.3213,30.7139,3.8275,6.2769,1.9059,55.5648,0.2417,5.5733,0.5539,6473.6,4.3558,182.97,0.3406,2.2025,70.61,1.0148,0.3897,22.3413,26.21,171.63,4.010,69517.7,643.1,2.7167,40300.9,507.93,29340.2,
